category,region,mnari,pcfci,avg_kcalories,avg_ca(mg),avg_folate(mcg),avg_iron(mg),avg_niacin(mg),avg_riboflavin(mg),avg_thiamin(mg),avg_vita(mcg),avg_vitb12(mcg),avg_vitb6(mg),avg_zinc(mg),vcci,maize(mt),rice(mt),sorghum(mt),cassava(mt),millet(mt),commodity,price
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,8.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,51.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),44.75
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Plantains (Apentu),2.4
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Cassava,9.25
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,52.13
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),45.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Maize,52.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Millet,56.0
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Imported),55.5
0,Ashanti,0.3577,0.7515,46.39,77.39,48.61,50.32,54.35,44.24,34.76,72.6,72.27,50.19,40.1,0.409,35684,13589,107,314125,0,Rice (Local),40.6
